Name,University,Year,Country
Volodymyr Lyubinets,University of Waterloo,2015,Canada
David Liu,Harvard University,2015,United States
Gaoyuan Chen,University of Southern California,2015,United States
Ruixin Qiang,University of Southern California,2015,United States
Xinpei Yu,University of Southern California,2015,United States
Chaoshuai Lu,University of California Los Angeles,2015,United States
Hao Chen,University of California Los Angeles,2015,United States
Xin Gao,University of California Los Angeles,2015,United States
Jason Li,Carnegie Mellon University,2015,United States
Zeyu Wang,Northwestern University,2015,United States
Luhang Lai,University of California at Berkeley,2015,United States
Soheil Ehsani Banafati,University of Maryland,2015,United States
Wen Li Looi,University of Calgary,2015,Canada
Trevor Boone,Iowa State University,2015,United States
Tyler Uhlenkamp,Iowa State University,2015,United States
Mijia Jiang,University of Minnesota - Twin Cities,2015,United States
Aryaz Eghbali,University of Calgary,2015,Canada
Karl Augsten,University of Calgary,2015,Canada
Xi Yi,University of Maryland,2015,United States
Nick Merritt,Rice University,2015,United States
Marcus Upton,Messiah College,2015,United States
Nathan Chaney,Messiah College,2015,United States
Zachary Felix,Messiah College,2015,United States
Kenneth Schiller,Carleton College,2015,United States
Marielle Foster,Carleton College,2015,United States
Matt Cotter,Carleton College,2015,United States
Rafael Marinheiro,Cornell University,2015,United States
Eduardo Ferreira,Cornell University,2015,United States
Jeremy Archer,University of Chicago,2015,United States
Jon Schneider,Princeton University,2015,United States
Siddhartha Jayanti,Princeton University,2015,United States
Andrew Haigh,The Australian National University,2015,Australia
Benedict Morrissey,The Australian National University,2015,Australia
